!bt|BitTorrent Incomplete Download 
!qb|qBittorrent Partial Download 
!ut|uTorrent Incomplete Download 
#24|Printer data for 24 pin matrix printer (LocoScript)
#ib|Printer data (LocoScript)
#sc|Printer data (LocoScript)
#st|Standard mode printer definitions (LocoScript)
$#!|Cryptext
clm|COLIMO 
clp|Clip art graphics (Quattro Pro)
clpi|Blue-ray Disc Clip Information 
clr|Color binary screen image (1st Reader)
cls|C++ class definition 
cm|Data (CraftMan)
cmd|Batch (OS/2)
cmf|FM-music (Creative Music File)
cmg|CMG 
cmk|Card (Card Shop Plus)
cml|COMAL programming language
cmm|Cmm script (batch) (CEnvi)
cmo|Virtools Composition 
cmp|Header for PostScript printer files (CorelDRAW)
cmq|Culturemetrics 
cmt|Culturemetrics 
cms|TrialDirector media storage
cmv|Animation (CorelMove CorelDraw 4.0)
cmx|Corel PhotoPaint Image
cnc|CNC general program data
cnd|ControlDraw 
cnf|Configuration (program - printer setup)
cnt|Helpfile contents
cnv|Data conversion support (Word for Windows)
cob|Cobol source code 
cod|Datafile (Forecast Plus - MS Multiplan - StatPac Gold)
col|Color palette (Autodesk Animator - many)
com|Command (memory image of executable program) (DOS)
con|Configuration (Simdir)
conf|Configuration 
config|Configuration 
cor|Protein Structure 
cpd|Script (Complaints Desk)
cpe|MS Fax Cover Sheet
cpf|Fax (The Complete Fax)
cph|Corel Print House image
cpi|Code Page Information (DOS)
cpl|Control panel (Windows 3.x)
cpo|Corel Print House 
cpp|C++ source code 
cpr|Cubase Project 
cps|Backup of startup files by Central Point PC Tools autoexec.cps
cpt|Compressed Mac archive created by COMPACT PRO (ext-pc.zip)
cpx|Control Panel Applet
cpy|Copy Books Data 
cpz|Music text (COMPOZ)
cr2|Canon Raw Image 
crc|Total Commander CRC 
crd|Cardfile (Windows 3.x - YourWay)
crf|Cross-reference (MS MASM - Zortech C++)
crh|Links Games Course 
crp|Encrypted database (dBASE IV)
crs|File Conversion Resource (WordPerfect 5.1)
crt|Terminal settings information (Oracle)
crtr|Multi-Ad Creator 7 document
crtx|Microsoft Chart Template 
cru|Compressed archive created by CRUSH
crw|Canon RAW Image 
crx|Chrome Extension 
crz|Links Games Course 
cs|Visual C# Source 
csa|Comma Deliminated Text
csf|Adobe Colour Settings 
csg|Graph (Statistica/w)
csh|Hamilton Labs C Shell Script 
csk|Claris Works
csm|Precompiled headers (Borland C++ 4.5)
cso|Compressed ISO Image 
csp|PC Emcee Screen Image (Computer Support Corporation)
css|Cascading Sheet Style 
cst|Macromedia Director Cast 
csv|Comma Separated Values text format (ASCII)
ct|Continous Tone 
ctc|Control (PC Installer)
ctd|Cobra Track Dump
ctf|Character code translation (Symphony)
ctg|Canon Catalog 
ctl|Microsoft Visual Basic Control 
ctn|CADTERNS 
ctt|Messenger contacts 
ctu|CZTU a gamma-ray analysis program. Need the CTZU.exe to work
ctx|Course TeXt (Microsoft online guides)
cty|SimCity City 
cue|MS Cue Cards data
cuf|C Utilities Form definition (TCU Turbo C Utilities)
cul|Windows cursor library (IconForge ImageForge ImageForge PRO)
cur|Cursor image (Windows 3.x)
cut|Bitmap graphics (Dr. Halo)
cv4|Color (CodeView)
cv5|Canvas version 5
cva|ACD Canvas Sequence Set 
cvb|Borland BDE File
cvd|Bitdefender
cvp|Cover page (WinFax)
cvr|WinFax Cover Sheet
cvs|Graphics (Canvas)
cvt|Backup for CONVERTed database (dBASE IV)
cvw|Color (CodeView)
cwk|Claris Works data
cwz|CropWalker 
cxf|Google Picasa Collage 
cxp|Core Media Player XML-based Playlist File
cxt|Macromedia Director Protected Cast 
cxx|C++ source code (Zortech C++)
d|D programming language source code
d00|Blaster Master Pro File
d10|H&R Block Deduction Pro 
d2s|Character (Diablo 2)
d3d|File Extension for Desktop-3D Notes
d64|Commodore 64 Emulator Disk Image
dat|Data in special format or ASCII
data|Sid Tune audio 
day|Journal 
db|Configuration (dBASE IV - dBFast)
db$|Temporary (dBASE)
db2|Database (dBASE II)
db3|Database (dBASE III)
dba|Datafile (DataEase)
dbb|ANSYS Database Backup
dbd|Business data (Business Insight)
dbf|Database (dBASE III/IV - FoxPro - dBFast - DataBoss)
dbg|Symbolic debugging information (MS C/C++)
dbk|Database backup (dBASE IV)
dbl|Windows XP Activation 
dbm|Datafile (DataEase)
dbo|Compiled program (dBASE IV)
dbs|Database in SQL Windows format
dbt|Data Base Text (Clipper)
dbw|Windows (DataBoss)
dbx|Database
dca|Document Content Architecture text (IBM DisplayWrite)
dcf|Disk image 
dcm|DCM Module Format
dcp|Data CodePage (OS/2)
dcr|Kodak Proprietary Image Format
dcs|Bitmap graphics (CYMK format) (QuarkXPress)
dct|Database dictionary (Clarion Database Developer)
dcx|FAX Image
dd|Compressed Macintosh archive created by DISKDOUBLER
ddat|DivX Temporary 
ddb|Bitmap graphics
ddc|DivX Descriptor Description File
ddf|MS Data Definition Language 
ddi|Diskdupe Image (ddupe322.zip)
ddp|Device Driver Profile (OS/2)
de|MetaProducts Download Express incompletely downloaded 
de7|Dance E jay 7 File
deb|Debian (Linux) archive
dec|VersaPro Declaration 
def|Assembly header (Geoworks)
dem|Demonstration
des|Description Text
dev|Device driver
dfd|Data Flow Diagram graphic (Prosa)
dff|Criterion RenderWare 3.x 3D object format
dfi|Outline font description (Digifont)
dfl|Default program settings (Signature)
dfm|Data Flow Diagram model (Prosa)
dfs|Delight Sound 
dft|Fakt2000 
dfv|Printing form (Word)
dfx|Drafix 
dgn|Graphics (MicroStation)
dgr|Fax Page (MS Outlook Express)
dgs|Diagnostics
dh|Dependency information for .ph (Geoworks)
dhp|Dr. Halo PIC Format graphics (Dr. Halo II - III)
dht|Datafile (Gauss)
dhy|Adobe Bridge 
dia|Diagraph graphics (Computer Support Corporation)
dib|Bitmap graphics (Device-Independent Bitmap)
dic|Lotus Notes / Domino dictonary 
dif|Output from Diff command - script for Patch command
dig|Digilink Format
dip|Graphics
dir|Adobe Director Movie File
dis|DATAIR data import specification 
divx|DivX Encoded Movie 
diz|Description (Description In Zip)
dje|MattBatt iAM-player
djv|DJVu Scanned 
djvu|DJVu 
dkb|Raytraced graphics (DKBTrace)
dl|Animation (Italian origin)
dl_|Compressed .dll in an Install Archive
dld|Data (Lotus 1-2-3)
dlg|Dialog resource script (MS Windows SDK)
dll|Dynamic Link Library (Windows - OS/2)
dls|Setup (Norton Disklock)
dmf|Delusion/XTracker digital music 
dmg|Macintosh OS X Disk Image 
dml|Medical Manager DML System Script
dmo|Demo (Derive)
dmp|Dump (eg. screen or memory)
dms|Compressed Amiga archive created by DISKMASHER
dmsk|DivX Web Player Temporary 
dna|Desktop DNA data storage 
dnasym|Desktop DNA compiled application script
dnax|Desktop DNA exclusion list (text)
dne|Netica Bayes net (Norsys Software Corp.)
dng|Adobe Digital Negative
dnl|DigitalWebBook Electronic Book
do|ModelSim Filter Design HDL Coder
doc|Microsoft Word Document 
docm|Open XML Macro-enabled Document (Microsoft Word)
docx|Microsoft Word Document XML (Microsoft Office)
dog|Screen (Laughing Dog Screen Maker)
doh|Dependency information for .poh (Geoworks)
dol|Nintendo Executable 
dos|External command (1st Reader)
dot|Line-type definition (CorelDRAW)
dotx|Microsoft Word 2007 / Word 2010 Template 
dox|Text (MultiMate 4.0)
doz|Description Out of Zip (VENDINFO)
dp|Calendar (Daily Planner)
dpg|Nintendo DS MPEG Video File
dpk|Delphi Package 
dpp|Serif DrawPlus Drawing
dpr|Default project- and state-related information (Borland C++)
dps|DivX Player Skin 
dpt|Desktop DNA template
dpx|Digital moving picture exchange format
dra|Map Maker Pro GIS vector layer
drs|Display Resource (WordPerfect for Win)
drv|Device driver eg. for printer
drw|Drawing (various)
ds|Twain Data Source 
ds4|Vector graphics (Micrografx Designer 4.0)
dsa|DasyTec DASYLab 
dsb|DasyTec DASYLab 
dsc|Discard (Oracle)
dsd|Database (DataShaper)
dsf|Micrografx Designer
dsk|Project desktop (Borland C++ - Turbo Pascal)
dsm|Digital sound module (DSI)
dsn|ODBC Data Source 
dsp|Display parameters (Signature)
dsp2|ReaderX and DragonStar Pro Ltd extensions
dsr|Driver Resource (WordPerfect for Win)
dss|Screensaver (DCC)
dst|PC-RDist Distribution 
dsw|Desktop settings (Borland C++ 4.5)
dsy|PC Draft Symbol Library
dt_|Data fork of a Macintosh (Mac-ette)
dta|Data (Turbo Pascal - PC-File - Stata)
dtd|SGML Document Definition 
dtf|Database (PFS - Q&A)
dtp|Document (Timeworks Publisher3)
dup|Duplicate Backup
dus|Readiris font dictionary
dvc|Data (Lotus 1-2-3)
dvf|DV Studio Camcorder Graphics 
dvi|Device Independent document (TeX)
dvp|Desqview Program Information (DESQview)
dvr|Windows Media Center Recorded 
dvr-ms|files created by Stream Buffer Engine(SBE)
dw2|Drawing (DesignCAD for windows)
dwc|Compressed archive created by DWC (dwc-a501.exe)
dwd|Davka Writer 
dwf|Autodesk WHIP! Drawing Web 
dwg|Drawing database (AutoCAD)
dwk|DADiSP Worksheet File
dwl|Drawing Lock 
dwt|AutoCAD Template/Prototype 
dwz|DVD movieFactory 3
