!bt|BitTorrent Incomplete Download 
!qb|qBittorrent Partial Download 
!ut|uTorrent Incomplete Download 
#24|Printer data for 24 pin matrix printer (LocoScript)
#ib|Printer data (LocoScript)
#sc|Printer data (LocoScript)
#st|Standard mode printer definitions (LocoScript)
$#!|Cryptext
sql|SQL report or query
sqlite|SQLite Database 
sqm|Service Quality Monitoring 
sqz|Compressed archive created by SQUEEZE (sqz1083e.exe)
src|Source (DataFlex)
srf|Sun Raster File graphics 
srp|Script (QuickLink)
srt|BSplayer Subtitle 
ss|Bitmap graphics (Splash)
ssa|Subtitles
ssb|SmartSync Pro
ssd|Datafile (SAS/PC)
ssf|Snagit 
ssm|RealPlayer Standard Streaming Metafile
ssp|Datafile (SAS Transport)
st|Smalltalk source code (Little Smalltalk) 
st3|MIDI Karaoke 
sta|Adobe Photoshop Match Colour Image Statistics 
stb|Stub library (Genus GX Kernel)
std|State Transition Diagram graphic (Prosa) 
stf|Compressed archive created by SHRINKTOFIT
stg|ActiveSync (Microsoft) Backup 
stl|C++ Standard Template Library
stm|State Transition Diagram model (Prosa) 
stn|ArcView Geocoding Standardization 
sto|Pascal stub OBJ (Genus GX Kernel)
stp|Sharepoint Web Site Template File 
str|Structure list object (dBASE Application Generator)
sts|Project status info (MS C/C++) 
stt|Automap Template 
stu|Tarantella Enterprise 3 3270 Emulator Style 
stw|Data (SmartTerm for Windows)
stx|Electronic book (SmarText) 
sty|Style library or sheet (many text and graphics programs)
sub|CloneCd related 
sui|Suit library (Simple User Interface Toolkit)
sum|Summary
sun|Sun rasterfile graphics
sup|Supplementary dictionary (WordPerfect for Win)
sv4|RollerCoaster Tycoon Saved Game
svd|Autosave for document (MS Word)
svg|Autosave for glossary (MS Word) 
svgz|Compressed Scaleable Graphic 
svp|WISCO Survey Power 
svs|Autosave for style sheet (MS Word)
sw|Audio (signed word)
swd|Storybook 
swf|ShockWave Flash object
swg|Swag packet (SWAG Reader)
swi|Swish Data 
swk|Swapkeys Keyboard File
swp|Document backup (Sprint) 
sxc|StarOffice / OpenOffice Spreadsheet 
sxw|OpenOffice.org Writer 6.0 text 
sy1|Smartpix symbol library (Ami Pro)
sy3|Symbol (Harvard Graphics 3.0)
syd|Backup of startup files created by QEMM (?) autoexec.syd
sym|Precompiled headers (Borland C++) 
syn|Sdsc Synu image (SDSC Image Tool) 
sys|Datafile (SYGRAPH - SYSTAT - SPSS/PC) 
syw|Graphics symbols (Harvard Graphics Win)
szc|Windows Mobile 5 (Pocket PC) 
t|Tads source 
t$m|AVG Internet Security Temporary 
t04|TaxCut 2004 
t05|TaxCut 2005 Tax Return
t06|TaxCut 2006 Tax Return
t07|TaxCut 2007 Tax Return
t08|TaxCut 2008 Tax Return
t09|H&R Block At Home 2009 Tax Return
t10|H&R Block At Home 2010 Tax Return
t11|H&R Block At Home 2011 Tax Return
t12|H&R Block At Home 2012 Tax Return
t2|Textease 2000 
t44|Temporary for Sort or Index (dBASE IV)
t64|Program (C64S emulator)
ta0|TaxAct 
tab|Guitar Tablature 
tag|Query tag name (DataFlex)
tah|Turbo Assembler Help (Borland C++)
tal|Text illustration (TypeAlign)
tao|IsoBuster 
tar|Compressed archive created by TAR
tax|TurboTax 
taz|Compressed ASCII archive created by TAR and COMPRESS (.tar.Z)
tb1|Font (Borland Turbo C)
tb2|Font (Borland Turbo C)
tbf|Fax (Imavox TurboFax)
tbh|Mah Jongg for Windows Tile Set
tbk|Memo backup (dBASE IV - FoxPro) 
tbl|Graphics (native format) (Adobe PageMaker TableEditor) 
tbs|Text elements ?? (Textbausteine) (MS Word)
tbx|Table (Project Scheduler 4)
tc|Configuration (Turbo C - Borland C++)
tch|Turbo C Help (Borland C++)
tcl|Tool Command Language source code (Swat)
tcp|3D Topicscape (exported inter-Topicscape topic link)
tcw|Drawing (TurboCAD for Windows)
td|Configuration (Turbo Debugger for DOS)
td0|Disk image (Teledisk)
td2|Configuration (Turbo Debugger for Win32)
tdb|Database (TACT) 
tdf|Font (TheDraw) 
tdh|Help (Turbo Debugger)
tdk|Keystroke recording (Turbo Debugger)
tds|Symbol table (Turbo Debugger)
tdt|ASCII Data File in CSV Format 
tdw|Configuration (Turbo Debugger for Windows)
tee|TeeChart Office graphic
tef|Fax (Relisys TEFAX)
tel|Host (Telnet)
tem|Turbo Editor Macro Language script (Borland C++) 
temp|Temporary 
test|Test File Extension
tex|LaTeX Source Document 
text|ASCII Text 
tf|Configuration (Turbo Profiler) 
tfa|Area (Turbo Profiler)
tfc|Catalogue (Tobi's Floppy Cataloguer)
tfh|Help (Turbo Profiler)
tfm|Tex Font Metric (TeX) 
tfs|Statistics (Turbo Profiler)
tfw|ArcView World File For TIF Image 
tg1|Project (On Target)
tga|Truevision Targa bitmap graphics
tgz|Compressed archive created by TAR and GNUzip (.tar.gz)
thb|KinuPix Skin
thd|Thread
thm|Thumbnail Image 
thn|Graphics Workshop for Windows Thumbnail
ths|Thesaurus dictionary (WordPerfect for Win)
tib|Acronis True Image 
tif|Tagged Image File Format bitmap graphics (PageMaker - CorelDRAW)
tiff|Tagged Image File Format
til|Fuzzy logic knowledge base (Togai InfraLogic Fuzzy-C Compiler)
tim|Playstation Game Texture Image 
tis|Tile set (MahJongg 3.0)
tix|ASA for UNIX Terminfo Extension 
tjl|Backup (VAXTPU editor)
tlb|OLE Type Library 
tlc|Compiled Tool Command Language source code (Swat)
tlp|Project (TimeLine)
tlt|Trellix Web Design 
tmb|Timbuktu Pro Connection Document
tmd|Document (TextMaker)
tmf|Tagged Font Metric (WordPerfect for Win)
tmo|Ztg global optimizer default output (Zortech C++)
tmp|Temporary 
tmpl|eMule Web Interface Template 
tmq|TestMaster 
tms|Script (Telemate)
tmv|Template (TextMaker)
toc|Table Of Contents 
tol|Kodak Photoenhancer
TOPC|TopicCrunch project for saving and resubmitting SEO searches
tos|Self-extracting archive (Atari ST)
tp|Configuration (Turbo Pascal) 
tp3|Template (Harvard Graphics 3.0)
tpb|Downloadable PCL Soft font backup (HiJaak)
tpf|Downloadable PCL Soft font (HiJaak)
tph|Help (Turbo Pascal)
tpi|Microsoft Test 
tpl|Document Template 
tpp|Protected Mode Units (Borland Pascal 7.0) 
tps|Clarion for Windows data 
tpu|Turbo Pascal Unit (BGI) (Turbo Pascal) 
tpw|Session-state (Turbo Profiler for Windows) 
tpz|Compressed archive created by TAR and GNUzip (.tar.gz)
tr|Session-state settings (Turbo Debugger for DOS) 
tr2|Session-state settings (Turbo Debugger for Win32)
trace|ECXpert Debugging 
trc|Debug support (Power CTrace)
tre|Directory tree (PC-Tools)
trg|Symantec LiveUpdate 
tri|Trigram 
trk|Kermit Script 
trm|Terminal settings (Windows 3.x)
trn|Translation support (Quattro)
trp|Tripmaker 
trs|Executable (Micrografx)
trw|Session-state settings (Turbo Debugger for Windows)
trx|Router Firmware 
ts|Transport Stream 
tsk|Skins for Pocket PC PDAs 
tsp|Windows Telephony Service Provider
tst|Printer test (WordPerfect for Win)
tsv|Tab Separated Value 
tt10|Turbotax 2010 Return 
tta|The True Audio Codec 
ttc|OpenType font 
ttf|Truetype Font 
tub|PaintShop Pro Tube 
tut|Tutorial
tv|Table view settings (Paradox)
tv1|Overflow above insert point in Doc 1 (WordPerfect for Win)
tv2|Overflow above insert point in Doc 2 (WordPerfect for Win)
tv3|Overflow above insert point in Doc 3 (WordPerfect for Win)
tv4|Overflow above insert point in Doc 4 (WordPerfect for Win)
tv5|Overflow above insert point in Doc 5 (WordPerfect for Win)
tv6|Overflow above insert point in Doc 6 (WordPerfect for Win)
tv7|Overflow above insert point in Doc 7 (WordPerfect for Win)
tv8|Overflow above insert point in Doc 8 (WordPerfect for Win)
tv9|Overflow above insert point in Doc 9 (WordPerfect for Win)
tvf|Table view settings (dBASE)
tvo|TeveoLive
tvp|NVIDIA Graphic Card Update 
tvr|Navicat for MySQL 
tvt|RealPlayer
txd|Grand Theft Auto 3 Texture 
txf|Compressed archive created by TAR and FREEZE (.tar.f)
txi|Support (TeX)
txl|Genesis3D Texture 
txt|Text 
tym|Time Stamp (PageMaker 4)
tz|Compressed archive created by TAR and COMPRESS (.tar.Z)
tzb|Compressed archive created by TAR - COMPRESS - BTOA (.tar.Z.btoa) 
uax|Unreal Audio 
ub|Audio (unsigned byte)
uc2|Compressed archive created by UltraCompressor II (uc2.zip)
ucn|New compressed archive created by UltraCompressor II
ucs|Universal Classification Standard Database 
udc|Acrobat Spelling 
udf|Filter (Photostyler)
udl|MS Data Link
uds|Sierra Generations Family 
ue2|Encrypted archive created by UltraCompressor II
ufo|Ulead PhotoImpact Graphic 
uha|UHARC Compressed Archive 
uhs|Universal Hint System (binary file)
ui|Espire source code (Geoworks UI Compiler) 
uif|MagicISO Disc Image 
uih|Espire header (Geoworks UI Compiler)
uis|WindowBlinds (Copyright Neil Banfield & Stardock.net Inc.)
ul|Ulaw audio 
uld|Information about uploaded files (Procomm Plus)
ult|Music (UltraTracker)
umb|Backup (MemMaker)
umd|Universal Media Disc 
umf|Stockmoves MOTEK BV
umx|Unreal music 
uni|Unimod music module (MIKMOD) 
unl|Garmin Unlock 
unq|Fax View 
uns2|Ultra Notes Backup 
unx|Text containing UNIX specific info
upd|Program update info 
upg|Firmware Upgrade 
upo|Compiled update data (dBASE)
upx|ULead Photo Express Saved Image 
url|Uniform Resource Locator (Internet shortcut)
urls|GetRight URL List 
usb|D-Link FM Radio Update 
user|Visual Studio User Options 
usp|Printer font with USASCII extended character set (PageMaker)
usr|User database (Procomm Plus - Turbo C++ tour)
utf|AOL Updating Files
utl|Sound 
utx|Unreal Engine Texture 
uu|Compressed ASCII archive created by UUDE/ENCODE
uue|Compressed ASCII archive created by UUENCODE (uuexe515.exe)
uvf|CSV (comma separated value) format. Used by Netica
uvr|Ulead Cool 360 Viewer 
uw|Audio (unsigned word)
uwl|WordPerfect User Word List 
v|Consistency check support (ReaGeniX code generator) 
v2|Microsoft Live Messenger data 
v64|Nintento 64 Emulation ROM Image
val|Validity checks and referential integrity (Paradox for Windows) 
van|Animation (VistaPro)
var|Variable (IconAuthor)
vbc|Visual Business Cards
vbd|ActiveX 
vbe|VBScript Encoded Script 
vbn|Norton Corporate anti-virus quarantined 
vbp|Visual Basic Project 
vbs|Visual Basic Script (Visual Basic)
vbw|Visual Basic Project Workplace (Visual Basic)
vbx|Visual Basic eXtension (Visual Basic)
vc|Include with color definitions (Vivid 2.0) 
vc4|Virtual CD/DVD Image 
vcd|VisualCADD Drawing 
vce|Visual CE Class Type 
vcf|VCard 
vch|Interlock Public Computer Utility
vcmf|VAIO Content Metadata 
vcs|vCalender 
vcw|Visual workbench information (MS Visual C++)
vcx|Spreatsheet (VisiCalc Advanced)
vda|Bitmap graphics
vdb|Norton AntiVirus Corporate Edition Update 
vdf|Avira AntiVir virus definition 
vdi|Virtual Disk Images files
vdj|Virtual DJ Sample 
vdm|VDM Play
vdr|Drawing (ComputerEasy Draw)
vdx|XML for Visio Drawing 
vem|VeePro Embroidery Software Format 
ver|Version Description 
vew|View (Clipper 5 Lotus Approach)
vfm|Voting Form (Voter)
vfn|Voting Form for Customers (Voter)
vfp|TMPGEnc VFAPI Plug-in
vfs|Virtual File System Index
vfx|Ulead Video Studio Sample 
vga|Vga display driver 
vgd|Vga display driver (Generic CADD)
vgr|Graphics (Ventura Publisher)
vhd|Virtual Hard Disk 
vi|Graphics (Jovian Logic VI)
vic|Vicar graphics
vid|Video 
vif|Khoros Visualization image (SDSC Image Tool)
vik|Viking graphics
vir|Virus Infected 
vis|Vis graphics
viv|VivoActive Player Video 
vlm|Ashlar-Vellum 
vlt|WinVault Container 
vm|Virtual Memory (Geoworks)
vm1|Panasonic SD Voice Editor 
vmc|Virtual memory configuration (Acrobat reader)
vmdk|VMware Disk Image 
vmf|Font characteristics (Ventura Publisher) 
vmg|Text Message files
vml|Vector Markup Language
vmo|Mobile Phone voice (Siemens Sl45) 
vmp|Logos Library System 2.x Verse Map
vms|Text containing VMS specific info
vmt|Valve Material file. Details how a material is to be rendered
vmx|VMware Configuration 
vnt|vNote 
vo|Include with object definition (Vivid 2.0)
vob|DVD video movie 
voc|Digitized samples (Creative Voice file)
vof|Object folder (VZ Programmer)
vol|VOL Archive 
vor|OpenOffice.org Template
vox|Vox Audio 
vp6|TrueMotion VP6 Video 
vpa|Excite Chat Gestures 
vpd|Virpet Performance Descriptor 
vpg|Graphics (VPGraphics)
vpk|Steam Package Archive 
vpl|Karaoke Player Playlist 
vpp|Virtual Pool Game 
vqe|Yamaha Sound-VQ Locator File
vqf|Yamaha Sound-VQ File
vql|Yamaha Sound-VQ Locator File
vrd|VRScape data 
vrm|Overlay (QuattroPro)
vro|Panasonic DVD Recorder 
vrp|Project (WATCOM VX?Rexx)
vrs|Video Resource eg. video device driver (WordPerfect)
vs|Include with surface definition (Vivid 2.0)
vsd|Diagram (Shapeware Visio)
vsl|GetRight Download List 
vsm|Simulation model (VisSim)
vsp|Visual Studio 
vss|Smartshapes (Shapeware Visio)
vst|Truevision Vista bitmap graphics
vtf|Valve Texture file. Used to store texture data
vts|DVD File format
vtx|XML for Visio template 
vue|Animation (3D Studio) 
vw|Text (Volkswriter)
vw3|Text (Volkswriter 3)
vwl|VideoWave Video Wave Library
vwr|File viewer (PC Tools)
vwt|VideoWave Thumbnail
vxd|Virtual device driver (MS Windows)
vyd|VyperHelp 
w|Database AppBuilder Source Code 
w02|Multiple Archive 
w30|Printer font (AST TurboLaser) (Ventura Publisher)
w31|Startup (Windows 3.1)
w3g|Warcraft III 
w3m|Warcraft III Map 
w44|Temporary for Sort or Index (dBASE)
w5v|Winamp 
wab|Outlook File
wac|Infinity Game Engine WAVC Sound
wad|Doom Game 
waf|Mayim's WAF Compiler 
wal|Winamp Skin 
war|Java Web Archive (used by Servlets) 
wav|Waveform audio (RIFF WAVE format)
wax|Windows Media Player Redirect 
wb1|Notebook (Quattro Pro)
wb2|Spreadsheet (Quattro Pro)
wb3|Quattro Pro for Windows
wba|WindowBlinds Compressed Skin 
wbc|Webshots Picture Collection
wbf|Ms Windows Batch File (Catch)
wbk|Document/workbook (WordPerfect for Win)
wbmp|Wireless Application Protocol Bitmap 
wbt|Batch (WinBatch)
wbx|Webigger 
wbz|WebShots 
wcd|Macro token list (WordPerfect for Win)
wcm|Data transmission (MS Works) 
wcp|Product information description (WordPerfect for Win)
wd2|Info Select for Palm Organizer 
wdb|Database (MS Works)
wdf|ReliaSoft Weibull 5.0 
wdl|Windows XP Watchdog Log 
web|Web source code 
wer|Microsoft Windows Error Report 
wfc|Windows Connect Now 
wfm|Form object (dBASE Form Designer)
wfn|Font (CorelDRAW)
wfx|Data (Winfax)
wg1|Worksheet (Lotus 1-2-3/G)
wg2|Worksheet (Lotus 1-2-3 for OS/2)
wgt|Opera Widget 
wid|Width table (Ventura Publisher)
wim|Image Format 
win|Opera Saved Window 
wiz|Page wizard (MS Publisher)
wjp|WildTangent Branded .jpg 
wk1|Spreadsheet (Lotus 1-2-3 version 2.x - Symphony 1.1+)
wk3|Spreadsheet (Lotus 1-2-3 version 3.x)
wk4|Spreadsheet (Lotus 1-2-3 version 3.4)
wkb|Document (WordPerfect for Win) 
wke|Spreatsheet (Lotus 1-2-3 educational version)
wkq|Spreatsheet (Quattro)
wks|Spreadsheet (Lotus 1-2-3 version 1A - Symphony 1.0 - MS Works) 
wll|Word Add-in
wlk|Graphics (Virtus Walkthrough)
wlt|eWallet 
wma|Microsoft Active Streaming 
wmc|Backup of startup files by Windows MathCad autoexec.wmc 
wmf|Windows MetaFile vector graphics
wml|Wireless Markup Language
wmv|MS Active Streaming 
wmz|Windows Media Compressed skin 
wn|Text (NeXT WriteNow)
wnf|Outline font description (CorelDRAW native format)
wo4|STABCAL 
wo7|STABCAL 
woa|Swap (Windows 3.x)
woc|Microsoft Office 2007 Organization 
wor|MapInfo Workspace
wot|WebEx Saved Meeting Movie
wow|Music (8 channels) (Grave Mod Player)
wp|Text (WordPerfect 4.2)
wp3|Microsoft Photo Story Project 
wp5|Document (WordPerfect 5.x)
wpd|Document (WordPerfect 6.0 - PFS:WindowWorks)
wpf|Fax (WorldPort) 
wpg|WildTangent Branded .PNG 
wpj|MS Works Projects
wpk|Macros (WordPerfect for Win)
wpl|Windows Media Player Playlist file/td> 
wpm|Macros (WordPerfect)
wps|Text document (MS Works)
wpt|WordPerfect template 
wpw|PerfectWorks document
wq!|Compressed spreadsheet (Quattro Pro)
wq1|Spreadsheet (Quattro Pro)
wr1|Spreadsheet (Symphony 1.1 - 1.2 - 2)
wrd|Template (Charisma)
wrf|used for WebEx recording. Microsoft office add-in for meeting
wri|Text (Windows Write)
wrk|Spreadsheet (Symphony 1.0 1.2 2.0 3.0)
wrl|Plain text VRML 
wrml|Plain text VRML 
wrp|Compressed Amiga archive created by WARP
wrs|Windows Resource eg. printer driver (WordPerfect for Win)
ws|Text (WordStar 5.0-6.0)
wsf|Windows Script 
wss|Web Screen Saver (Web Screen Saver 2008)
ws2|Text (WordStar 2000)
wsc|Windows scripting component 
wsd|Document (WordStar)
wsf|Windows Script 
wsh|Windows Script Host Settings 
wsp|Workspace (Fortran PowerStation)
wsr|FirstStop WebSearch 
wss|Web Screen Saver (Web Screen Saver 2008)
wst|Text (WordStar)
wsx|WinMX Filesharing Program
wsz|Skin Zip (WinAmp)
wtd|WinTune Document 
wtr|MS Encarta 
wv|WavPack compressed Audio 
wve|Component of a DIVX Movie Conversion 
wvx|Metafile
wvw|Backup Wonderware InTouch window 
wwb|Button bar for document window (WordPerfect for Win)
wwk|Keyboard layout (WordPerfect for Win)
wwp|Worms World Party Teams 
wws|AutoRoute User Information
wwv|WildTangent Branded .WAV 
wxp|Document (EXP for Windows)
wxs|Easy Cross crosstitch 
wzg|WZebra 
wzs|Microsoft Word wizard 
x|DirectX Object 
x01|Secondary index (Paradox)
x02|Secondary index (Paradox)
x03|Secondary index (Paradox)
x04|Secondary index (Paradox)
x05|Secondary index (Paradox)
x06|Secondary index (Paradox)
x07|Secondary index (Paradox)
x08|Secondary index (Paradox)
x09|Secondary index (Paradox)
x16|Macromedia Program Extension (16-bit)
x32|Macromedia Program Extension (32-bit)
xap|Silveright Application Package
xbel|XML Bookmark Exchange Language 
xbm|X11 Bitmap graphics
xcf|Gimp Image 
xdf|Milnta APL Transfer Function 
xdw|X Windows Screen Dump 
xef|X-Genics eManager - XML form and data for eManager
xem|X-Genics eManager - Metered units / credit definition for forms/file usage in eManager
xep|X-Genics eManager - File packaging / unpacking information for eManager components
xes|X-Genics eManager - XML definition for UI skins
xet|X-Genics eManager - XML definition for eManager process
xev|X-Genics eManager - File download definition for auto-update and delivery of new procedures
xez|X-Genics eManager - Template package for eManager
xfd|XML Form in XFDL Format
xfdl|Extensible Forms Description Language 
xfn|Printer font (Xerox 4045) (Ventura Publisher)
xft|24 pin printer font (ChiWriter)
xfx|Fax File (various)
xhtml|Extensible HyperText Markup Language 
xi|Fast Tracker 2 Instrument or ScreamTracker Instrument 
xif|Wang image 
xla|Xlib Archive (xlibpas2.zip)
xla|Add-in macro sheet (MS Excel)
xlb|Data (MS Excel)
xlc|Chart document (MS Excel)
xlk|Excel Backup
xll|Excel Dynamic Link Library (MS Excel)
xlm|Macro sheet (MS Excel)
xlr|MS Works 
xls|MS Spreadsheet (Microsoft Office or Works) 
xlsm|Microsoft Excel Macro-Enabled Workbook 
xlsx|Microsoft Excel XML 
xlt|Template (MS Excel) 
xlw|Workbook (MS Excel)
xlx|XoloX Incomplete Download 
xm|Music (Fast Tracker)
xmi|Compressed eXtended MIdi music
xml|Extensible Markup Language 
xmp|Extensible Metadata Platform
xnf|Standard Network File form
xpi|XPInstall File 
xnk|Microsoft Exchange Shortcut
xpl|Music 
xpm|X11 Pixel Map graphics
xpr|Memorex CD-ROM label 
xps|XML Paper Specification 
xpt|Mozilla Firefox Component 
xpw|Leading Market Technologies EXPO 
xqt|Executable (Waffle) 
xpv|digital surveillance system
xrf|Cross-reference 
xsd|XML Schema 
xsf|Milnta APL Transfer Function
xsl|Extensible Stylesheet Language 
xspf|XML Shareable Playlist 
xss|Ability Office Spreadsheet
xtb|External translation table (LocoScript)
xtm|Xtremsplit Data 
xtr|MapTool (an add-on for UI-View) 
xul|XML User Interface Language 
xvb|WinExplorer VB Script
xvid|Xvid Video 
xvl|Compact 3D format for web apps.(Lattice 3D)
xwd|X Window System window dump image graphics (SDSC Image Tool)
xwk|Keyboard mapping (Crosstalk)
xwp|Session (Crosstalk) 
xx|Compressed ASCII archive created by XXENCODE (uuexe515.exe)
xe|Compressed ASCII archive created by XXENCODE (uuexe515.exe)
xx|Singer Sewing Machine Professional SewWare 
xy|Text (XY Write)
xy3|Text (XYWrite III)
xyw|Text (XyWrite III)
xyz|ASCII RPG Maker Graphic Format
xz|XZ Compressed Archive 
y|Yacc grammar 
y01|Secondary index (Paradox)
y02|Secondary index (Paradox)
y03|Secondary index (Paradox)
y04|Secondary index (Paradox)
y05|Secondary index (Paradox)
y06|Secondary index (Paradox)
y07|Secondary index (Paradox)
y08|Secondary index (Paradox)
y09|Secondary index (Paradox)
yab|Yabasic Source Code 
yal|Data (Arts & Letters)
ybk|Microsoft Encarta Yearbook 
ychat|Yahoo! Messenger chat log
yenc|yEnc 
ymg|Yahoo! Messenger 
yml|YAML 
ync|yEnc Encoded 
yps|Yahoo! Messenger Data 
yuv|YUV Encoded Image or Video 
yz|Compressed archive created by YAC
yz1|Yamazaki ZIPPER 
z|Compressed ASCII archive created by COMPRESS (comp430d.zip) 
z01|Winzip Split Archive 
z02|Split Archive 
z1|ZoneAlarm Renamed VB 
z3|Infocom game module
zap|Zero Administration Package 
zbd|Canon ZoomBrowser Database 
zdb|Zimbra Database File
zdct|After Effects Language 
zdg|Compressed ZiffNet text document (Zview)
zdl|Design Pro Label 
zdp|ZDNet Password Pro 32
zer|Data (Zerberus)
zfx|ZFX - CC3 File Packer Tool
zgm|Graphics (Zenographics)
zhtml|Secure IE Zipped HTML 
zi|Renamed Zip 
zif|Zooming Image Format 
zip|ZIP Compressed archive
zipx|WinZip Compressed 
zix|Quicken Data 
zl?|Zone Alarm Mailsafe Renamed File. 
zl|Zlib Compressed 
zls|Atlantis Ocean Mind Word Processing 
zmc|ZoneAlarm Mailsafe
zom|Compressed Amiga archive created by ZOOM
zon|Grand Theft Auto 3 Zone 
zoo|Compressed archive created by ZOO (zoo210.exe)
zpk|Z Firm Package 
zpl|Creative Zen Micro playlist
zst|ZSNES Slot 0 Savestate
ztd|Ziff Davis Media text database
zvd|Zyxel Voicefile (Z-Fax)
zvz|Possible Virus 
zxp|Extension Manager Package
zz|Zzip Compressed Archive 
zzt|ZZT Game Creation System
